ad_id,fb_campaign_id,age,gender,interest
708746,103916,30-34,M,15
708749,103917,30-34,M,16
708771,103920,30-34,M,20
708815,103928,30-34,M,28
708818,103928,30-34,M,28
708820,103929,30-34,M,29
708889,103940,30-34,M,15
708895,103941,30-34,M,16
708953,103951,30-34,M,27
708958,103952,30-34,M,28
708979,103955,30-34,M,31
709023,103962,30-34,M,7
709038,103965,30-34,M,16
709040,103965,30-34,M,16
709059,103968,30-34,M,20
709105,103976,30-34,M,28
709115,103978,30-34,M,30
709124,103979,30-34,M,31
709179,103988,35-39,M,15
709183,103989,35-39,M,16
709320,104012,35-39,M,15
709323,104012,35-39,M,15
709326,104013,35-39,M,16
709327,104013,35-39,M,16
709328,104013,35-39,M,16
709455,104034,35-39,M,7
709544,104049,35-39,M,29
709614,104061,40-44,M,16
709756,104085,40-44,M,16
709761,104085,40-44,M,16
709899,104108,40-44,M,15
709901,104109,40-44,M,16
710045,104133,45-49,M,16
710088,104140,45-49,M,24
710360,104185,45-49,M,21
710477,104205,30-34,F,16
710480,104205,30-34,F,16
710571,104220,30-34,F,32
710617,104228,30-34,F,15
710623,104229,30-34,F,16
710628,104230,30-34,F,18
710682,104239,30-34,F,27
710763,104252,30-34,F,15
710836,104265,30-34,F,29
710867,104270,30-34,F,63
710880,104272,30-34,F,65
710961,104285,35-39,F,25
710968,104287,35-39,F,27
711217,104328,35-39,F,20
711623,104396,40-44,F,15
711764,104419,45-49,F,10
711785,104423,45-49,F,19
711877,104438,45-49,F,63
712052,104467,45-49,F,10
734209,108654,30-34,M,10
734210,108654,30-34,M,10
734215,108655,30-34,M,15
734243,108660,30-34,M,21
734266,108664,30-34,M,25
734272,108665,30-34,M,26
734290,108668,30-34,M,29
734313,108672,30-34,M,36
734314,108672,30-34,M,36
734352,108678,35-39,M,10
734361,108680,35-39,M,16
734381,108683,35-39,M,20
734399,108686,35-39,M,23
734418,108689,35-39,M,26
734421,108690,35-39,M,27
734427,108691,35-39,M,28
734433,108692,35-39,M,29
734582,108716,40-44,M,29
734605,108720,40-44,M,36
734660,108729,45-49,M,18
734666,108730,45-49,M,19
734726,108740,45-49,M,29
734737,108742,45-49,M,31
734785,108750,30-34,F,10
734794,108752,30-34,F,16
734796,108752,30-34,F,16
734800,108753,30-34,F,18
734803,108753,30-34,F,18
734852,108761,30-34,F,26
734854,108762,30-34,F,27
734856,108762,30-34,F,27
734866,108764,30-34,F,29
734881,108766,30-34,F,31
734901,108770,30-34,F,64
734903,108770,30-34,F,64
734925,108774,35-39,F,10
734939,108776,35-39,F,16
734968,108781,35-39,F,22
734999,108786,35-39,F,27
735014,108788,35-39,F,29
735032,108791,35-39,F,32
735033,108792,35-39,F,36
735043,108793,35-39,F,63
735048,108794,35-39,F,64
735065,108797,40-44,F,7
735109,108804,40-44,F,21
735140,108809,40-44,F,26
735143,108810,40-44,F,27
735151,108811,40-44,F,28
735184,108817,40-44,F,63
735189,108818,40-44,F,64
735213,108822,45-49,F,10
735220,108823,45-49,F,15
735242,108826,45-49,F,19
735247,108827,45-49,F,20
735289,108834,45-49,F,27
735290,108834,45-49,F,27
735298,108836,45-49,F,29
736869,109448,30-34,M,2
736890,109451,30-34,M,15
736893,109452,30-34,M,16
736977,109470,30-34,M,27
736988,109472,30-34,M,28
736995,109473,30-34,M,29
736997,109473,30-34,M,29
737097,109498,35-39,M,7
737130,109507,35-39,M,16
737320,109553,35-39,M,63
737375,109565,40-44,M,10
737524,109601,40-44,M,30
737644,109629,45-49,M,16
737657,109633,45-49,M,18
737658,109633,45-49,M,18
737674,109637,45-49,M,20
737766,109659,45-49,M,29
737896,109689,30-34,F,16
737931,109698,30-34,F,20
737961,109706,30-34,F,23
737995,109714,30-34,F,26
738006,109717,30-34,F,27
738067,109731,30-34,F,32
738098,109738,30-34,F,64
738307,109788,35-39,F,31
738389,109808,40-44,F,10
738408,109813,40-44,F,16
738413,109813,40-44,F,16
738423,109816,40-44,F,18
738436,109820,40-44,F,19
738463,109826,40-44,F,21
738528,109839,40-44,F,30
738560,109844,40-44,F,64
738582,109848,45-49,F,10
