,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,age_lower_bound,age_upper_bound
0,708746,916,103916,30-34,M,15,7350.0,1.0,1.429999948,2,1.0,30,34
1,708749,916,103917,30-34,M,16,17861.0,2.0,1.820000023,2,0.0,30,34
2,708771,916,103920,30-34,M,20,693.0,0.0,0.0,1,0.0,30,34
3,708815,916,103928,30-34,M,28,4259.0,1.0,1.25,1,0.0,30,34
4,708818,916,103928,30-34,M,28,4133.0,1.0,1.289999962,1,1.0,30,34
5,708820,916,103929,30-34,M,29,1915.0,0.0,0.0,1,1.0,30,34
6,708889,916,103940,30-34,M,15,15615.0,3.0,4.769999981,1,0.0,30,34
7,708895,916,103941,30-34,M,16,10951.0,1.0,1.269999981,1,1.0,30,34
8,708953,916,103951,30-34,M,27,2355.0,1.0,1.5,1,0.0,30,34
9,708958,916,103952,30-34,M,28,9502.0,3.0,3.159999967,1,0.0,30,34
10,708979,916,103955,30-34,M,31,1224.0,0.0,0.0,1,0.0,30,34
11,709023,916,103962,30-34,M,7,735.0,0.0,0.0,1,0.0,30,34
12,709038,916,103965,30-34,M,16,5117.0,0.0,0.0,1,0.0,30,34
13,709040,916,103965,30-34,M,16,5120.0,0.0,0.0,1,0.0,30,34
14,709059,916,103968,30-34,M,20,14669.0,7.0,10.28000021,1,1.0,30,34
15,709105,916,103976,30-34,M,28,1241.0,0.0,0.0,1,1.0,30,34
16,709115,916,103978,30-34,M,30,2305.0,1.0,0.569999993,1,0.0,30,34
17,709124,916,103979,30-34,M,31,1024.0,0.0,0.0,1,1.0,30,34
18,709179,916,103988,35-39,M,15,4627.0,1.0,1.690000057,1,0.0,35,39
19,709183,916,103989,35-39,M,16,21026.0,4.0,4.630000114,2,1.0,35,39
20,709320,916,104012,35-39,M,15,1422.0,0.0,0.0,1,1.0,35,39
21,709323,916,104012,35-39,M,15,7132.0,2.0,2.609999895,1,0.0,35,39
